"clogid","cbussinessid","cobjectid","cobjectline","calarmcode","crecvoccurutctime"
"20346","","19726554","0","1524","2017/9/22 03:22:35"
"20356","","19726554","0","1524","2017/9/22 03:23:22"
"20449","","19726554","0","1524","2017/9/22 03:39:19"
"20468","","19726554","0","1524","2017/9/22 03:41:27"
"4127","","19726554","0","1524","2017/9/22 02:36:17"
"4171","","19726554","0","1524","2017/9/22 02:36:19"
"20039","","19726554","0","1524","2017/9/22 02:53:14"
"20231","","19726554","0","1524","2017/9/22 02:53:42"
"20347","","19726554","0","1524","2017/9/22 03:22:35"
"20357","","19726554","0","1524","2017/9/22 03:23:22"
"20450","","19726554","0","1524","2017/9/22 03:39:19"
"20469","","19726554","0","1524","2017/9/22 03:41:27"
"4128","","19726554","0","1524","2017/9/22 02:36:17"
"4172","","19726554","0","1524","2017/9/22 02:36:19"
"20040","","19726554","0","1524","2017/9/22 02:53:14"
"20232","","19726554","0","1524","2017/9/22 02:53:42"
"20348","","19726554","0","1524","2017/9/22 03:22:35"
"20358","","19726554","0","1524","2017/9/22 03:23:26"
"20367","","19726554","0","1524","2017/9/22 03:23:30"
"20451","","19726554","0","1524","2017/9/22 03:39:19"
"20470","","19726554","0","1524","2017/9/22 03:41:27"
"4129","","19726554","0","1524","2017/9/22 02:36:17"
"4186","","19726554","0","1524","2017/9/22 02:36:58"
"20042","","19726554","0","1524","2017/9/22 02:53:14"
"20221","","19726554","0","1524","2017/9/22 02:53:38"
"20349","","19726554","0","1524","2017/9/22 03:22:35"
"20359","","19726554","0","1524","2017/9/22 03:23:26"
"20368","","19726554","0","1524","2017/9/22 03:23:30"
"20452","","19726554","0","1524","2017/9/22 03:39:19"
"20471","","19726554","0","1524","2017/9/22 03:41:27"
"4130","","19726554","0","1524","2017/9/22 02:36:17"
"4187","","19726554","0","1524","2017/9/22 02:36:58"
"20044","","19726554","0","1524","2017/9/22 02:53:14"
"20222","","19726554","0","1524","2017/9/22 02:53:38"
"20350","","19726554","0","1524","2017/9/22 03:22:35"
"20360","","19726554","0","1524","2017/9/22 03:23:26"
"20369","","19726554","0","1524","2017/9/22 03:23:30"
"20453","","19726554","0","1524","2017/9/22 03:39:19"
"20472","","19726554","0","1524","2017/9/22 03:41:27"
"4131","","19726554","0","1524","2017/9/22 02:36:17"
"4188","","19726554","0","1524","2017/9/22 02:37:00"
"20045","","19726554","0","1524","2017/9/22 02:53:14"
"20223","","19726554","0","1524","2017/9/22 02:53:38"
"20351","","19726554","0","1524","2017/9/22 03:22:35"
"20361","","19726554","0","1524","2017/9/22 03:23:26"
"20370","","19726554","0","1524","2017/9/22 03:23:30"
"20454","","19726554","0","1524","2017/9/22 03:39:19"
"20473","","19726554","0","1524","2017/9/22 03:41:27"
"4132","","19726554","0","1524","2017/9/22 02:36:17"
"4189","","19726554","0","1524","2017/9/22 02:37:00"
